Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"C.T.S. / CERTIFIED TESTING SPECIALISTS, INC. (3171607)",10/08/2008,Active,Stock Corporation - CA - General,CALIFORNIA,DONALD W. SCHADT
CA INTERACTIVE PRACTICE TEST EXAMS LLC (202200111693),01/01/2022,Active,Limited Liability Company - CA,CALIFORNIA,
CAE AUTOMATION AND TEST LLC (201631510323),11/10/2016,Active,Limited Liability Company - CA,CALIFORNIA,BRADY QUACH
"CAL TEST ELECTRONICS, INC. (1764025)",05/23/1995,Active,Stock Corporation - CA - General,CALIFORNIA,WILLIAM HANSEN
"CAL-ENVIRONMENTAL TESTING, INC. (3444417)",01/30/2012,Active,Stock Corporation - CA - General,CALIFORNIA,JUAN MALDONADO
"CAL-GREEN HERS TESTING, INC (4592289)",05/13/2020,Active,Stock Corporation - CA - General,CALIFORNIA,KRIKOR DERVISHOGLIAN
CALIBRATION AND TESTING CORPORATION (948858),01/02/1980,Active,Stock Corporation - CA - General,CALIFORNIA,"INCORP SERVICES, INC."
"CALIFORNIA AIR DUCT TESTERS, INC. (4059834)",08/28/2017,Active,Stock Corporation - CA - General,CALIFORNIA,CHRYSTAL K ENGLAND
CALIFORNIA CANNABIS TESTING LABS (4104492),01/26/2018,Active,Stock Corporation - CA - General,CALIFORNIA,PARACORP INCORPORATED
CALIFORNIA COUNCIL OF TESTING AND INSPECTION AGENCIES (1893272),06/07/1994,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,MICHELLE K CRAIG
CALIFORNIA COVID TESTING CENTER LLC (202123110374),08/17/2021,Active,Limited Liability Company - CA,CALIFORNIA,DON LE
CALIFORNIA DOWN AND FEATHER TESTING LABORATORY LLC (202002510033),01/06/2020,Active,Limited Liability Company - CA,CALIFORNIA,GORDON H DAMANT
CALIFORNIA MECHANICAL TESTING (4667206),09/03/2019,Active,Stock Corporation - CA - General,CALIFORNIA,BRITTANY RACHEL SAMALA
CALIFORNIA RAPID COVID TESTING LLC (202023710736),08/20/2020,Active,Limited Liability Company - CA,CALIFORNIA,PETER J FOX PFOXCOMM@GMAIL.COM
"CALIFORNIA TESTING & INSPECTIONS, INC. (3130536)",08/11/2008,Active,Stock Corporation - CA - General,CALIFORNIA,FABIOLA JAQUE-DIAZ
CALIFORNIA TESTOSTERONE CLINIC (4767934),07/20/2021,Active,Stock Corporation - CA - General,CALIFORNIA,PHILIP LIN
"CAMERA TESTER SERVICE, INC. (1261653)",11/05/1984,Active,Stock Corporation - CA - General,CALIFORNIA,CHARLES T. WILLEY
CAREER TEST SITE.COM LLC (201113810130),05/09/2011,Active,Limited Liability Company - CA,CALIFORNIA,
CARLSBAD TEST AND REPAIR LLC (202117610842),06/23/2021,Active,Limited Liability Company - CA,CALIFORNIA,
CASCADE TESTING LLC (202106710537),03/03/2021,Active,Limited Liability Company - CA,CALIFORNIA,
CASH 4 TEST STRIPS LLC (202117310543),06/18/2021,Active,Limited Liability Company - CA,CALIFORNIA,
"CATALYST TEST SERVICE, LLC (201226910319)",09/25/2012,Active,Limited Liability Company - CA,CALIFORNIA,LYNN RIMKUS
"CC TESTING LABS, INC. (4780449)",08/17/2021,Active,Stock Corporation - CA - General,CALIFORNIA,PARACORP INCORPORATED
"CEECON TESTING, INC. (2440659)",06/14/2002,Active,Stock Corporation - CA - General,CALIFORNIA,C MICHAEL CHAPMAN
"CENTRAL CALIFORNIA TESTING, INC. (3558689)",04/04/2013,Active,Stock Corporation - CA - General,CALIFORNIA,LESLI DRENNAN ELLIOTT
"CENTRAL VALLEY TESTING, INC. (1104972)",02/26/1982,Active,Stock Corporation - CA - General,CALIFORNIA,VERONICA MYERS
CERTIFIED & TESTED LLC (202113210234),05/08/2021,Active,Limited Liability Company - CA,CALIFORNIA,NORRIS JONES
"CERTIFIED BACKFLOW ASSEMBLY TESTING, LLC (201305710193)",01/23/2013,Active,Limited Liability Company - CA,CALIFORNIA,DAVID A WILSON
"CERTIFIED LABORATORY TESTING, LTD (4655881)",10/21/2020,Active,Stock Corporation - CA - General,CALIFORNIA,SAMUEL J ELLIOTT
CERTIFIED MEDICAL TESTING INC (4684553),12/15/2020,Active,Stock Corporation - CA - General,CALIFORNIA,PAUL S JAMES
CFM TESTING (4197480),06/10/2018,Active,Stock Corporation - CA - General,CALIFORNIA,"LEGALZOOM.COM, INC."
"CHAMPION CYLINDER TESTING, LLC (201805210041)",02/07/2018,Active,Limited Liability Company - CA,CALIFORNIA,JAMES DANA SHEHAN
CHAPEL OF PEACE HOLINESS CHURCH OF THE OLD AND NEW TESTAMENT (1050515),07/28/1981,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,LUTHER JAMES SMITH
"CHARLES TESTERMAN GENERAL ENGINEERING, INC (3818561)",08/20/2015,Active,Stock Corporation - CA - General,CALIFORNIA,CHARLES DEAN TESTERMAN
CHARLES TESTING LLC (201719410403),07/10/2017,Active,Limited Liability Company - Out of State,DELAWARE,LESLIE SOBOL
"CHARLIE'S SMOG TEST & REPAIR CENTER, INC. (3489971)",07/20/2012,Active,Stock Corporation - CA - General,CALIFORNIA,CORINNNE P SOTELO
CHAVKIN TEST PREP (3837296),10/26/2015,Active,Stock Corporation - CA - General,CALIFORNIA,JAY L CHAVKIN
"CHRIST NEW TESTAMENT BAPTIST CHURCH OF LOS ANGELES, ""A NON-PROFIT CHARITABLE INCORPORATION"" (567113)",04/10/1969,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,
CHRIST SANCTIFY NEW TESTAMENT CHURCH (4764123),07/08/2021,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,PINKY SHYNE
CHRISTIAN TESTIMONY ASSEMBLY OF CULVER CITY (1817568),03/19/1992,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,LILY KUO
CHUNGHWA PRECISION TEST TECH USA CORPORATION (3307587),07/27/2010,Active,Stock Corporation - CA - General,CALIFORNIA,TA-CHIEN CHANG
CHURCH OF LOS ANGELES OF THE NEW TESTAMENT CHURCH (1386910),09/24/1986,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,JULIA PI
CHURCH OF THE TESTIMONY OF JESUS CHRIST (4855102),02/26/2022,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,EVAN AVERY
CITY BACKFLOW TESTER LLC (202118310651),06/30/2021,Active,Limited Liability Company - CA,CALIFORNIA,KENNETH S TATOLA
"CLEAN AIR TESTING, INC. (2778985)",12/19/2005,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID NIEDRICH LOPEZ
CLEAN HEALTH TEST LLC (202032210153),11/13/2020,Active,Limited Liability Company - CA,CALIFORNIA,MICHAEL B WILSON
CLEAN TESTING SERVICES LLC (201228910158),10/10/2012,Active,Limited Liability Company - CA,CALIFORNIA,LEE S HEILIGMAN
CLEAR19 RAPID TESTING LLC (202204111089),02/08/2022,Active,Limited Liability Company - CA,CALIFORNIA,JUSTIN ANH
"CLINICAL TESTING OF BEVERLY HILLS, INC. (3622813)",12/04/2013,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID A LAZAR
CO2 TESTING (4547533),01/01/2020,Active,Stock Corporation - CA - General,CALIFORNIA,GARY PETER JOST
COACHELLA VALLEY MOLD TESTING (4781630),08/25/2021,Active,Stock Corporation - CA - General,CALIFORNIA,STEPHEN NEWELL
"COASTAL DRUG AND ALCOHOL TESTING, INC. (4732744)",04/14/2021,Active,Stock Corporation - CA - General,CALIFORNIA,"LEGALZOOM.COM, INC."
COLUMBIA RESEARCH AND TESTING CORPORATION (581737),10/01/1969,Active,Stock Corporation - CA - General,CALIFORNIA,PAUL G LABONTE
"COMMERCE ANALYTICAL TESTING SERVICES, INC. (4568718)",02/19/2020,Active,Stock Corporation - CA - General,CALIFORNIA,MOHAMMAD R GHODSI
"COMMUNICATIONS TEST DESIGN, INC. (2934272)",11/13/2006,Active,Stock Corporation - Out of State - Stock,PENNSYLVANIA,"REGISTERED AGENT SOLUTIONS, INC."
COMMUNITY TESTING CENTER LLC (201605510286),02/16/2016,Active,Limited Liability Company - CA,CALIFORNIA,MIRIAM ROSENBLUTH
"COMMUNITY TESTING SERVICES, INC. (4836491)",01/19/2022,Active,Stock Corporation - CA - General,CALIFORNIA,RAMZY RAHIB
COMMUNITY TESTING SITES LLC (202201011277),01/06/2022,Active,Limited Liability Company - CA,CALIFORNIA,ILYA FILMUS
COMPA A1 SMOG TEST ONLY LLC (202012210310),04/27/2020,Active,Limited Liability Company - CA,CALIFORNIA,FERNANDO R LAGUNA
"COMPREHENSIVE DRUG TESTING, INC. (1479887)",04/09/1990,Active,Stock Corporation - CA - General,CALIFORNIA,LAURA COX
"COMPREHENSIVE TEST AND BALANCE, INC. (4192774)",09/07/2018,Active,Stock Corporation - Out of State - Stock,PENNSYLVANIA,SAMANTHA SABOL
CONCIERGE COVID TESTING INC. (4618553),07/17/2020,Active,Stock Corporation - CA - General,CALIFORNIA,"LEGALZOOM.COM, INC."
CONEJO COVID TESTING CENTER LLC (202101110158),01/06/2021,Active,Limited Liability Company - CA,CALIFORNIA,KAMBIZ KAMANGAR
"CONSOLIDATED TESTING LABORATORIES, INC. (1589546)",06/24/1987,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID W HARRIS
CONSOLIDATED TESTING SERVICES INC. (2947299),04/25/2007,Active,Stock Corporation - CA - General,CALIFORNIA,"MYCORP PLATINUM SERVICES, INC."
CONSTRUCTION MATERIALS TESTING LABORATORY LLC (201723010372),08/14/2017,Active,Limited Liability Company - CA,CALIFORNIA,
"CONSTRUCTION TESTING AND ENGINEERING, INC. (1559606)",03/01/1989,Active,Stock Corporation - CA - General,CALIFORNIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"CONSTRUCTION TESTING AND ENGINEERING, SOUTH, INC. (3642638)",01/30/2014,Active,Stock Corporation - CA - General,CALIFORNIA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
CONSTRUCTION TESTING SERVICES (1881143),02/04/1994,Active,Stock Corporation - CA - General,CALIFORNIA,JOHN G. DOOLING
"CONSTRUCTION TESTING SERVICES, LLC (201420310113)",07/17/2014,Active,Limited Liability Company - Out of State,NEVADA,JOHN G DOOLING
"CONTRACT MATERIAL TESTING, LLC (201803210047)",01/17/2018,Active,Limited Liability Company - CA,CALIFORNIA,JOHN YOUNG
"CONTROL SYSTEMS TESTING, INC. (3318319)",07/19/2010,Active,Stock Corporation - Out of State - Stock,NEVADA,ZANE ALAN LITTLETON
CONVERSE TESTING WEST (1803298),10/21/1991,Active,Stock Corporation - CA - General,CALIFORNIA,"REGISTERED AGENT SOLUTIONS, INC."
"COOPER TESTING LABS, INC. (1679629)",01/10/1991,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID ROBERT COOPER
CORONADO TEST KITCHEN LLC (201723510333),08/17/2017,Active,Limited Liability Company - Out of State,ARIZONA,
CORONAVIRUS QUICK TEST LLC (202014310235),05/20/2020,Active,Limited Liability Company - CA,CALIFORNIA,
CORTEK TEST SOLUTIONS LLC (201314310282),05/15/2013,Active,Limited Liability Company - CA,CALIFORNIA,KATHERINE HOMAN
"COUNTRYWIDE TESTING,INC. (4585510)",04/10/2020,Active,Stock Corporation - CA - General,CALIFORNIA,TUAN HUNG PHAM
COVID HEALTH & TESTING LLC (202021910874),08/04/2020,Active,Limited Liability Company - CA,CALIFORNIA,
"COVID TEST CENTER, INC. (4635124)",09/02/2020,Active,Stock Corporation - CA - General,CALIFORNIA,"WESTWOOD CAPITAL, INC."
COVID TEST COURIER INC. (4834144),01/13/2022,Active,Stock Corporation - CA - General,CALIFORNIA,CHARLES LEE
COVID TESTERS INC. (4835060),01/17/2022,Active,Stock Corporation - CA - General,CALIFORNIA,ARIN BABAKHANLOU
COVID TESTING ASSIST (4814422),11/29/2021,Active,Stock Corporation - CA - General,CALIFORNIA,"NORTHWEST REGISTERED AGENT, INC."
"COVID TESTING LABS, LLC (202104310560)",02/09/2021,Active,Limited Liability Company - CA,CALIFORNIA,
COVID TESTING LACIENEGA LLC (202103510867),01/11/2021,Active,Limited Liability Company - Out of State,DELAWARE,MIKE AZEROUAL
COVID TESTING NOW LLC (202104210318),01/15/2021,Active,Limited Liability Company - CA,CALIFORNIA,AVRAHAM FINCK
COVID TESTING UNIT LLC (202203110353),01/27/2022,Active,Limited Liability Company - CA,CALIFORNIA,JOHN SMITH III
"COVID-19 TESTING CENTERS , INC (4622124)",07/29/2020,Active,Stock Corporation - CA - General,CALIFORNIA,MARCOS ALFREDO BELTRAN
CRAIG EVANS PUMP TESTING SERVICE INC. (4826062),12/30/2021,Active,Stock Corporation - CA - General,CALIFORNIA,BRENDAN P. BREWER
CREATIVE TESTING INC. (4851910),02/17/2022,Active,Stock Corporation - Out of State - Stock,DELAWARE,REGISTERED AGENTS INC
CREATIVE TESTING SOLUTIONS (3993372),02/14/2017,Active,Nonprofit Corporation - Out of State,ARIZONA,"NATIONAL REGISTERED AGENTS, INC."
"CRYSTAL CLEAR TESTIMONY MINISTRY, INC. (4553014)",01/13/2020,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,OLAOLUWA SOLADEMI
CRYSTAL CLEAR TESTING (4791629),09/22/2021,Active,Stock Corporation - CA - General,CALIFORNIA,MELODY ZIKO
CSA AMERICA TESTING & CERTIFICATION LLC (201831710311),11/13/2018,Active,Limited Liability Company - Out of State,DELAWARE,
"CUPERTINO TESTING ACADEMY, INC. (2735874)",03/22/2005,Active,Stock Corporation - CA - General,CALIFORNIA,JULIAN CHOU
"CUTTING EDGE TESTING, LLC (201218510357)",06/28/2012,Active,Limited Liability Company - CA,CALIFORNIA,
"CYLINDER TESTING SOLUTIONS, LLC (201807810355)",03/01/2018,Active,Limited Liability Company - Out of State,COLORADO,
D O T EMPIRE DRUG TESTING INC (4664945),11/18/2020,Active,Stock Corporation - CA - General,CALIFORNIA,JASDEEP DHALIWAL
"DANNYS AIR DUCT TESTING, INC. (3813809)",08/05/2015,Active,Stock Corporation - CA - General,CALIFORNIA,DANIEL MAEZ
DANNY'S TEST ONLY SMOG CHECK LLC (201915410479),05/29/2019,Active,Limited Liability Company - CA,CALIFORNIA,
"DANNY'S TEST ONLY, INC. (4233778)",01/16/2019,Active,Stock Corporation - CA - General,CALIFORNIA,DANIEL A ESPINOZA ENRRIQUEZ
DANTES TESTPREP LLC (200900910047),01/08/2009,Active,Limited Liability Company - CA,CALIFORNIA,ANDREW WILLIAMS
"DAVE'S PRESSURE TESTING, INC. (3487891)",06/27/2012,Active,Stock Corporation - CA - General,CALIFORNIA,DAVID J FERGUSON
"DCS TESTING & EQUIPMENT, INC. (1778304)",02/13/1996,Active,Stock Corporation - CA - General,CALIFORNIA,STEVE JAY WARD
"DECISIVE TESTING, INC. (504243)",02/08/1966,Active,Stock Corporation - CA - General,CALIFORNIA,MICHAEL MAY
"DEL TESTA FARMS, INC. (463388)",01/02/1964,Active,Stock Corporation - CA - General,CALIFORNIA,FRANCIS JOSEPH DEL TESTA
"DEL TESTA HARVESTING, INC. (688892)",09/07/1973,Active,Stock Corporation - CA - General,CALIFORNIA,FRANCIS JOSEPH DEL TESTA
DELTA TEST LLC (202136110308),12/23/2021,Active,Limited Liability Company - CA,CALIFORNIA,
DENTAL TEST PREP LLC (201920610328),07/23/2019,Active,Limited Liability Company - CA,CALIFORNIA,NAMRATA NAYYAR ENCHPREP@GMAIL.COM
DESIGN AND TEST LAB (3851280),12/19/2015,Active,Stock Corporation - CA - General,CALIFORNIA,OLEKSANDR YEGOROV
DESIGN VERIFICATION TESTING LABORATORIES (1880511),12/31/1993,Active,Stock Corporation - CA - General,CALIFORNIA,OUSSAMA DARGHOUS
"DICKSON TESTING CO., INC. (680712)",05/14/1973,Active,Stock Corporation - CA - General,CALIFORNIA,"NATIONAL REGISTERED AGENTS, INC."
DINASTIA DUCT TESTING LLC (202200310115),01/02/2022,Active,Limited Liability Company - CA,CALIFORNIA,PETER GOMEZ
DISCOUNT SMOG STAR TEST ONLY INC. (3936995),08/16/2016,Active,Stock Corporation - CA - General,CALIFORNIA,AYSAR HELO
DITECH TESTING USA LLC (201933610522),11/21/2019,Active,Limited Liability Company - Out of State,DELAWARE,
"DIVERSIFIED INSPECTIONS/INDEPENDENT TESTING LABORATORIES, INC. (2174552)",08/19/1999,Active,Stock Corporation - Out of State - Stock,ARIZONA,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
"DONALD P. DEL TESTA, D.D.S., INC. (768370)",04/26/1976,Active,Stock Corporation - CA - General,CALIFORNIA,DONALD P DEL TESTA
DONT TEST EM LLC (202203811359),02/04/2022,Active,Limited Liability Company - CA,CALIFORNIA,JUAN CHAVEZ
"DOS TESTAMENTOS EN EL DESIERTO, INC. (2429162)",07/03/2002,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,MARTHA A FIRTH
"DR. MICHAEL GOULD, PSYCHOLOGICAL TESTING, CONSULTATION AND EVALUATION, APC (3592552)",07/31/2013,Active,Stock Corporation - CA - Professional,CALIFORNIA,MICHAEL GOULD
DREGLO CANNABIS TESTING LABORATORY (4851803),02/23/2022,Active,Stock Corporation - CA - General,CALIFORNIA,JILLIAN LISA XAVIER
"DRI ADVANCED TEST SYSTEMS, INC. (3990745)",02/14/2017,Active,Stock Corporation - Out of State - Stock,DELAWARE,ALEX BRUNO
"DRUG & ALCOHOL TESTING, INC. (3503769)",08/30/2012,Active,Stock Corporation - CA - General,CALIFORNIA,HERMAN H PETTEGROVE
"DRUG TESTING NETWORK, INC. (2021194)",11/12/1997,Active,Stock Corporation - CA - General,CALIFORNIA,RUSSELL M DEPHILLPS
DRUG TESTING USA INC. (3388831),04/18/2011,Active,Stock Corporation - Out of State - Stock,NEVADA,KAMELIA YADEGARI
"DYNAMIC TEST SOLUTIONS AMERICA, INC. (3888757)",03/22/2016,Active,Stock Corporation - Out of State - Stock,DELAWARE,TODD MASON SCHNACK
DYNAMIC TESTING SERVICES LLC (202133610090),11/30/2021,Active,Limited Liability Company - CA,CALIFORNIA,KORINA BEJARANO
"E & S DUCT TESTING, LLC (201625010397)",08/29/2016,Active,Limited Liability Company - CA,CALIFORNIA,ELIO C ADAME
"E TESTMENT, LLC (201115710183)",05/24/2011,Active,Limited Liability Company - CA,CALIFORNIA,JERROLD ARMOND SMESTAD
EAGLE ROCK TEST ONLY SMOG STATION LLC (202131310129),11/05/2021,Active,Limited Liability Company - CA,CALIFORNIA,
"EAGLE SMOG CHECK TEST ONLY, INC. (3423933)",11/10/2011,Active,Stock Corporation - CA - General,CALIFORNIA,RAFIK SHANAZARI
"EAGLE TEST SYSTEMS, INC. (2857146)",02/28/2006,Active,Stock Corporation - Out of State - Stock,DELAWARE,UNITED AGENT GROUP INC.
"EARTH LABS TESTING, LLC (202017110697)",06/18/2020,Active,Limited Liability Company - CA,CALIFORNIA,SATISH DASH
EASY SMOG TEST ONLY STATION INC (4277032),05/13/2019,Active,Stock Corporation - CA - General,CALIFORNIA,JOHN LE
EAZY TESTING (4627561),08/13/2020,Active,Stock Corporation - CA - General,CALIFORNIA,ALBERT ELHIANI
"EDUCATIONAL TEST PREP, LLC (201230510197)",10/25/2012,Active,Limited Liability Company - CA,CALIFORNIA,SUSAN SLOTNICK
"EDUCATIONAL TESTING AND ASSESSMENT, INC. (2675705)",08/30/2004,Active,Stock Corporation - CA - General,CALIFORNIA,CHRIS DAVIDSON
EDUCATIONAL TESTING SERVICE (227998),06/04/1948,Active,Nonprofit Corporation - Out of State,NEW YORK,CORPORATION SERVICE COMPANY WHICH WILL DO BUSINESS IN CALIFORNIA AS CSC - LAWYERS INCORPORATING SERVICE
EE TESTING CENTER (4544052),12/23/2019,Active,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,"NORTHWEST REGISTERED AGENT, INC."
EL TABERNACULO DEL TESTIMONIO INC. (2838238),06/29/2006,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,LILIAN RIVERA
"ELECTRICAL TEST INSTRUMENTS, LLC (201819910466)",07/18/2018,Active,Limited Liability Company - Out of State,DELAWARE,
"ELECTRICAL TESTING & MAINTENANCE SERVICES, INC. (2637185)",04/08/2004,Active,Stock Corporation - CA - General,CALIFORNIA,JOHN SCIRANKA
ELECTRO MAGNETIC TEST INC. (1782977),05/01/1996,Active,Stock Corporation - CA - General,CALIFORNIA,JAY GANDHI
"ELEVATOR LOAD TEST, INC. (2433978)",04/29/2003,Active,Stock Corporation - Out of State - Stock,NEVADA,ANN TARDY
ELITE TESTING CA LLC (202132210777),11/16/2021,Active,Limited Liability Company - CA,CALIFORNIA,SYED M BILGRAMI
ELITE TESTING LLC (202027010147),09/24/2020,Active,Limited Liability Company - CA,CALIFORNIA,YELENA ELBAUM
"EMBRY MEDICAL TESTING AND VACCINE SERVICES OF CALIFORNIA, PC (4848782)",02/11/2022,Active,Stock Corporation - CA - Professional,CALIFORNIA,"NATIONAL REGISTERED AGENTS, INC."
"EMISSION TEST CENTERS, INC. (3249568)",08/17/2010,Active,Stock Corporation - CA - General,CALIFORNIA,SPENCER G BROD
"EMISSIONS TEST AND REPAIR, INC (4164725)",06/15/2018,Active,Stock Corporation - CA - General,CALIFORNIA,JULIET BARRAZA
"EMISSIONS TESTING LABORATORIES-NORCAL ""A CALIFORNIA LIMITED PARTNERSHIP"" (198501700065)",01/17/1985,Active,Limited Partnership - CA,CALIFORNIA,GEORGE GOODRICH
ENGINEERING & TESTING SERVICES HOLDINGS CORPORATION (4132160),04/03/2018,Active,Stock Corporation - Out of State - Stock,DELAWARE,PARACORP INCORPORATED
ENGINEERING DESIGN & TESTING CORP. (2156561),02/16/1999,Active,Stock Corporation - Out of State - Stock,SOUTH CAROLINA,REGISTERED AGENTS INC
"ENGINEERS TESTING LABORATORIES, INC. (1250149)",06/22/1984,Active,Stock Corporation - Out of State - Stock,ARIZONA,C T CORPORATION SYSTEM
ENGLISH LANGUAGE TESTING SOCIETY (4320798),09/24/2019,Active,Nonprofit Corporation - CA - Mutual Benefit,CALIFORNIA,PERRY AKINS
"ENVIRONMENTAL SERVICES & TESTING, INC. (2261157)",09/11/2000,Active,Stock Corporation - CA - General,CALIFORNIA,JASON A ANTHONY
"ENVIRONMENTAL TESTING & TECHNOLOGY, INC. (2281367)",03/01/2001,Active,Stock Corporation - CA - General,CALIFORNIA,ANDREW M JORDAN
"ENVIRONMENTAL TESTING SOLUTIONS, LLC (201428310093)",10/08/2014,Active,Limited Liability Company - CA,CALIFORNIA,
"ENVISION MEDICAL GAS TESTING, INC. (2838427)",06/30/2006,Active,Stock Corporation - CA - General,CALIFORNIA,CRISTINA MCDORMAN
EPHESIANS NEW TESTAMENT CHURCH (1631179),12/20/1988,Active,Nonprofit Corporation - CA - Religious,CALIFORNIA,EMORY B. JAMES
ESSENTIAL RAPID COVID TESTING LLC (202202410197),01/19/2022,Active,Limited Liability Company - CA,CALIFORNIA,JAMESHIA ELLIS
ESSENTIAL TEST PREP LLC (201931810516),11/10/2019,Active,Limited Liability Company - CA,CALIFORNIA,JOSHUA GRASMICK
"E-TECH TESTING SERVICES, LLC (202207510337)",03/07/2022,Active,Limited Liability Company - Out of State,DELAWARE,
"EUROFINS BOTANICAL TESTING US, INC. (4171098)",07/03/2018,Active,Stock Corporation - Out of State - Stock,DELAWARE,COGENCY GLOBAL INC.
"EUROFINS DONOR & PRODUCT TESTING, INC. (4089499)",12/11/2017,Active,Stock Corporation - Out of State - Stock,DELAWARE,COGENCY GLOBAL INC.
"EUROFINS ELECTRICAL AND ELECTRONIC TESTING NA, INC. (2119710)",09/08/1998,Active,Stock Corporation - Out of State - Stock,MARYLAND,COGENCY GLOBAL INC.
"EUROFINS ENVIRONMENT TESTING AMERICA HOLDINGS, INC. (4751471)",06/07/2021,Active,Stock Corporation - Out of State - Stock,DELAWARE,COGENCY GLOBAL INC.
"EUROFINS ENVIRONMENT TESTING NORTHERN CALIFORNIA, LLC (201736210400)",12/28/2017,Active,Limited Liability Company - Out of State,DELAWARE,
"EUROFINS ENVIRONMENT TESTING NORTHWEST, LLC (201905110713)",02/12/2019,Active,Limited Liability Company - Out of State,DELAWARE,
"EUROFINS ENVIRONMENT TESTING SOUTHWEST, LLC (201736210394)",12/28/2017,Active,Limited Liability Company - Out of State,DELAWARE,
"EUROFINS EPK BUILT ENVIRONMENT TESTING, LLC (201009210021)",04/01/2010,Active,Limited Liability Company - Out of State,DELAWARE,
"EUROFINS LANCASTER LABORATORIES ENVIRONMENT TESTING, LLC (201318410089)",06/28/2013,Active,Limited Liability Company - Out of State,DELAWARE,
"EUROFINS NDSC ENVIRONMENT TESTING AMERICAS, INC. (4567488)",02/28/2020,Active,Stock Corporation - Out of State - Stock,DELAWARE,COGENCY GLOBAL INC.
EUROFINS PRODUCT TESTING US INC. (3770129),03/24/2015,Active,Stock Corporation - Out of State - Stock,DELAWARE,COGENCY GLOBAL INC.
EVANS PUMP TESTING SERVICE LLC (202136210043),12/24/2021,Active,Limited Liability Company - CA,CALIFORNIA,BRENDAN P. BREWER
EVENT TESTING SOLUTIONS LLC (202202210588),01/19/2022,Active,Limited Liability Company - CA,CALIFORNIA,
"EVERGREEN EDUCATIONAL TESTING SERVICES, INC. (3515963)",10/24/2012,Active,Stock Corporation - CA - General,CALIFORNIA,JULIAN CHOU
EXCEL TEST PREP. (2537387),05/29/2003,Active,Stock Corporation - CA - General,CALIFORNIA,NITESH SINGH
"EXPEDITE DUCT TESTING, LLC (201605710405)",02/22/2016,Active,Limited Liability Company - CA,CALIFORNIA,
EXPERIMENTAL FLIGHT TEST SOLUTIONS LLC (202019810574),07/10/2020,Active,Limited Liability Company - Out of State,WASHINGTON,RYAN OLSON
"EXPERT SMOG TEST ONLY, INC. (3426200)",11/22/2011,Active,Stock Corporation - CA - General,CALIFORNIA,TOMAS DANEHIAN
EXPRESS AIR TESTING INC. (3738195),12/31/2014,Active,Stock Corporation - CA - General,CALIFORNIA,DAN LUGOJANU
EXPRESS COVID TESTING LLC (202102810234),01/24/2021,Active,Limited Liability Company - CA,CALIFORNIA,OPHIR PORAT
EXTREME ENVIRONMENTAL TESTING LLC (202110411243),04/12/2021,Active,Limited Liability Company - CA,CALIFORNIA,JOSEF COWAN
EZ H.E.R.S. TESTING CORPORATION (4589237),05/05/2020,Active,Stock Corporation - CA - General,CALIFORNIA,EZEQUIEL MORENO
"EZ TESTING CENTER, LLC (202129310641)",10/15/2021,Active,Limited Liability Company - CA,CALIFORNIA,
"F3 AUTOMOTIVE TEST FIT LABS, INC. (3450750)",03/15/2012,Active,Stock Corporation - CA - General,CALIFORNIA,ROBERT COTE
FAILSAFE TESTING LLC (201815110772),05/29/2018,Active,Limited Liability Company - CA,CALIFORNIA,JUSTIN HILL
FAIRMOUNT SMOG TEST ONLY (2296865),06/24/2003,Active,Stock Corporation - CA - General,CALIFORNIA,TONY VAN NGUYEN
FALCON ELECTRICAL TESTING (4663825),11/13/2020,Active,Stock Corporation - CA - General,CALIFORNIA,SHAWN IZADIYAR
Falcon Test Inc. (5051816),04/29/2022,Active,Name Reservation,CALIFORNIA,NO AGENT
FAST PASS TEST ONLY LLC (202022411034),08/10/2020,Active,Limited Liability Company - CA,CALIFORNIA,JESUS MANUEL ESQUEDA JR
"FAST RESPONSE ON-SITE TESTING, INC. (2006945)",04/01/1997,Active,Stock Corporation - CA - General,CALIFORNIA,CASEY TERRIBILINI
FAST TESTING INC (4829803),01/06/2022,Active,Stock Corporation - CA - General,CALIFORNIA,"BIZ FRIEND, INC"
